datetime,lignite,hard coal,natural gas,oil,biomass,co2
1/5/2035 0:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 1:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 2:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 3:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 4:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 5:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 6:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 7:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 8:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 9:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 10:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 11:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 12:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 13:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 14:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 15:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 16:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 17:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 18:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 19:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 20:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 21:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 22:00,6.94,25.9,24.29,21.67,16.67,180
1/5/2035 23:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 0:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 1:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 2:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 3:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 4:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 5:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 6:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 7:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 8:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 9:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 10:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 11:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 12:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 13:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 14:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 15:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 16:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 17:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 18:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 19:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 20:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 21:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 22:00,6.94,25.9,24.29,21.67,16.67,180
1/6/2035 23:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 0:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 1:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 2:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 3:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 4:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 5:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 6:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 7:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 8:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 9:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 10:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 11:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 12:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 13:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 14:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 15:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 16:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 17:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 18:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 19:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 20:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 21:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 22:00,6.94,25.9,24.29,21.67,16.67,180
1/7/2035 23:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 0:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 1:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 2:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 3:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 4:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 5:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 6:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 7:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 8:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 9:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 10:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 11:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 12:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 13:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 14:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 15:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 16:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 17:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 18:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 19:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 20:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 21:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 22:00,6.94,25.9,24.29,21.67,16.67,180
1/8/2035 23:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 0:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 1:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 2:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 3:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 4:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 5:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 6:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 7:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 8:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 9:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 10:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 11:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 12:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 13:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 14:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 15:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 16:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 17:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 18:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 19:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 20:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 21:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 22:00,6.94,25.9,24.29,21.67,16.67,180
1/9/2035 23:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 0:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 1:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 2:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 3:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 4:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 5:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 6:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 7:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 8:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 9:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 10:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 11:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 12:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 13:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 14:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 15:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 16:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 17:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 18:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 19:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 20:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 21:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 22:00,6.94,25.9,24.29,21.67,16.67,180
1/10/2035 23:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 0:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 1:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 2:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 3:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 4:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 5:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 6:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 7:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 8:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 9:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 10:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 11:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 12:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 13:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 14:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 15:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 16:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 17:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 18:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 19:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 20:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 21:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 22:00,6.94,25.9,24.29,21.67,16.67,180
1/11/2035 23:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 0:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 1:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 2:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 3:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 4:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 5:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 6:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 7:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 8:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 9:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 10:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 11:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 12:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 13:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 14:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 15:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 16:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 17:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 18:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 19:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 20:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 21:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 22:00,6.94,25.9,24.29,21.67,16.67,180
1/12/2035 23:00,6.94,25.9,24.29,21.67,16.67,180
1/13/2035 0:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 1:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 2:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 3:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 4:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 5:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 6:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 7:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 8:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 9:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 10:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 11:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 12:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 13:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 14:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 15:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 16:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 17:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 18:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 19:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 20:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 21:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 22:00,6.94,25.9,24.29,21.44,16.67,180
1/13/2035 23:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 0:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 1:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 2:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 3:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 4:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 5:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 6:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 7:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 8:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 9:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 10:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 11:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 12:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 13:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 14:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 15:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 16:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 17:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 18:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 19:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 20:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 21:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 22:00,6.94,25.9,24.29,21.44,16.67,180
1/14/2035 23:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 0:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 1:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 2:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 3:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 4:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 5:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 6:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 7:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 8:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 9:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 10:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 11:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 12:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 13:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 14:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 15:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 16:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 17:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 18:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 19:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 20:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 21:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 22:00,6.94,25.9,24.29,21.44,16.67,180
1/15/2035 23:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 0:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 1:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 2:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 3:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 4:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 5:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 6:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 7:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 8:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 9:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 10:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 11:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 12:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 13:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 14:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 15:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 16:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 17:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 18:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 19:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 20:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 21:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 22:00,6.94,25.9,24.29,21.44,16.67,180
1/16/2035 23:00,6.94,25.9,24.29,21.44,16.67,180
1/17/2035 0:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 1:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 2:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 3:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 4:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 5:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 6:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 7:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 8:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 9:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 10:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 11:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 12:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 13:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 14:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 15:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 16:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 17:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 18:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 19:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 20:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 21:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 22:00,6.94,25.9,24.29,21.37,16.67,180
1/17/2035 23:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 0:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 1:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 2:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 3:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 4:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 5:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 6:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 7:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 8:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 9:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 10:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 11:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 12:00,6.94,25.9,24.29,21.37,16.67,180
1/18/2035 13:00,6.94,25.9,24.29,21.37,16.67,180
