datetime,uranium,lignite,hard coal,natural gas,oil,biomass,co2
04-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
04-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
05-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
06-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
07-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
08-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
09-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
10-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
11-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
12-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
13-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
14-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
15-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 3:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 4:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 5:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 6:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 7:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 8:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 9:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 10:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 11:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 12:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 13:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 14:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 15:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 16:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 17:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 18:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 19:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 20:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 21:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 22:00,2,5.6,26.43,64.6,86.15,20.7,80.1
16-01-23 23:00,2,5.6,26.43,64.6,86.15,20.7,80.1
17-01-23 0:00,2,5.6,26.43,64.6,86.15,20.7,80.1
17-01-23 1:00,2,5.6,26.43,64.6,86.15,20.7,80.1
17-01-23 2:00,2,5.6,26.43,64.6,86.15,20.7,80.1
