Line,bus0,bus1,c_nfkm,cables,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm,x,r,g,b,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
214,179,12_220kV,11.5,3,50,1188567,1.3,86.333,86333,1,50Hertz_Transmission,303,0.08,303,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(13.9570055475871 53.252171625753,13.7096697058228 52.5397952580643)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
215,180,181,11.5,3,50,1188568,1.3,62.054,62054,1,50Hertz Transmission,306,0.08,306,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(14.270834670665 53.0962865535819,14.0336963684666 53.5078685980791)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
216,182,180,11.5,3,50,1188569,1.3,26.246,26246,1,PSE Operator;50Hertz,220kV Krajnik - Vierraden,0.08,507,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(14.4762521006827 53.1967495480613,14.270834670665 53.0962865535819)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
217,179,181,11.5,3,50,1188570,1.3,29.603,29603,1,50Hertz Transmission,305,0.08,305,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(13.9570055475871 53.252171625753,14.0336963684666 53.5078685980791)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
218,180,12_220kV,11.5,3,50,1188571,1.3,100.983,100983,1,50Hertz_Transmission,304,0.08,304,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(14.270834670665 53.0962865535819,13.7096697058228 52.5397952580643)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
219,183,30,13.7,3,50,1188840,2.6,28.675,28675,1,50Hertz Transmission,E,0.025,E,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,9.5017896678173 53.5428143723363)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
220,183,21,27.4,6,50,1188841,5.2,29.674,29674,2,50Hertz Transmission,C,0.0125,C,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,10.1575015165126 53.5551316685834)",0.125,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
221,183,21,13.7,3,50,1188844,2.6,29.628,29628,1,50Hertz Transmission,D,0.025,D,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,10.1575015165126 53.5551316685834)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
222,183,30,13.7,3,50,1188848,2.6,28.654,28654,1,50Hertz Transmission,F,0.025,F,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,9.5017896678173 53.5428143723363)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
223,184_220kV,185,5.75,3,50,1190720,0.65,14.09,14090,0.5,Amprion,Ürdingen West,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.65673519501182 51.379523634379)",0.64,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
224,184_220kV,89,11.5,3,50,1190723,1.3,21.946,21946,1,Amprion,Mündelheim Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.72376714521247 51.3556543809247)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
225,184,186,13.7,3,50,1208415,2.6,9.562,9562,1,Amprion,Lohheide West,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.7111452744645 51.5261875490663)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
226,184,187,13.7,3,50,1208417,2.6,15.588,15588,1,Amprion,Zensenbusch Süd,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.68934277038931 51.5764228881728)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
227,137,105_220kV,11.5,3,50,1208426,1.3,41.843,41843,1,Amprion,Pfalzdorf Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.22183144595687 51.6946456422206,6.68078798893986 51.6462959356851)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
228,104_220kV,172,11.5,3,50,1224880,1.3,10.353,10353,1,Amprion,Emscher Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.78752251671348 51.505550100013)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
229,104_220kV,172,11.5,3,50,1224881,1.3,10.342,10342,1,Amprion,Emscher Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.78752251671348 51.505550100013)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
230,89,175,11.5,3,50,1225767,1.3,5.643,5643,1,Amprion,Rheinhausen West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.72376714521247 51.3556543809247,6.72031000055597 51.3915325380171)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
231,185,89,11.5,3,50,1225768,1.3,8.792,8792,1,Amprion,Mündelheim Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.65673519501182 51.379523634379,6.72376714521247 51.3556543809247)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
232,89,188,11.5,3,50,1225769,1.3,4.702,4702,1,Amprion,Huckingen 2b,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.72376714521247 51.3556543809247,6.72365237186396 51.375845810902)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
233,189,190,10.275,3,,1460038,1.95,37.253,37253,0.75,EnBW,ENGST-TRSNG,0.033333,,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(8.61664767275337 48.0659537906797,8.87294280487974 48.3100912582216)",0.333333,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
234,191_220kV,172,11.5,3,50,1491474,1.3,6.769,6769,1,Amprion,Walsum Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.78752251671348 51.505550100013)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
235,191_220kV,172,11.5,3,50,1491477,1.3,6.525,6525,1,Amprion,Walsum Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.78752251671348 51.505550100013)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
236,42_220kV,192,11.5,3,50,1521278,1.3,0.929,929,1,50Hertz,,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.1857651811846 53.8108597989599)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
237,42_220kV,192,11.5,3,50,1521279,1.3,0.933,933,1,50Hertz,,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.1857651811846 53.8108597989599)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
238,105,186,13.7,3,50,1526991,2.6,18.907,18907,1,Amprion,Niederrhein West,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.7111452744645 51.5261875490663)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
239,105,187,13.7,3,50,1527013,2.6,12.541,12541,1,Amprion,Zensenbusch Nord,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.68934277038931 51.5764228881728)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
240,191_220kV,193,11.5,3,50,1527967,1.3,8.483,8483,1,Amprion,Beeck Tr212,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.72256980950278 51.4797876727124)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
241,187,194,13.7,3,50,1527969,2.6,0.71,710,1,Amprion,Voerde B,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.68934277038931 51.5764228881728,6.68306568260248 51.577104777735)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
242,187,194,13.7,3,50,1527971,2.6,0.562,562,1,Amprion,Voerde A,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.68934277038931 51.5764228881728,6.68306568260248 51.577104777735)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
243,191_220kV,195_220kV,11.5,3,50,1527975,1.3,6.647,6647,1,Amprion,Möllen Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.68310697663871 51.5756455059265)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
244,191_220kV,196,11.5,3,50,1527977,1.3,5.026,5026,1,Amprion,Schwelgern Tr22,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.74541676675317 51.4986419480434)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
245,197,195_220kV,11.5,3,50,1527982,1.3,7.165,7165,1,Amprion,Möllen Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.61427855504049 51.6186788033284,6.68310697663871 51.5756455059265)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
246,110,198,13.7,3,50,1703680,2.6,2.167,2167,1,Amprion,Westfalen D,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.99288723332679 51.6837077155955,7.9706568937083 51.6768446667846)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
247,197,191_220kV,11.5,3,50,1527984,1.3,13.873,13873,1,Amprion,Löhnen West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.61427855504049 51.6186788033284,6.71525259691926 51.5267908666491)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
248,199,165_220kV,5.75,3,50,1547542,0.65,27.322,27322,0.5,Amprion,Cappenberg Süd,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(7.44506930371379 51.6185000869374,7.70831848872651 51.6762033088437)",0.64,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
249,134,123_220kV,11.5,3,50,1548412,1.3,11.754,11754,1,Amprion,Rommerskirchen Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.80461158012622 50.9662452961379,6.70220337779745 51.0088609096753)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
250,200,193,11.5,3,50,1578736,1.3,2.82,2820,1,Amprion,Stockum West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.73212495035583 51.4594437365975,6.72256980950278 51.4797876727124)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
251,200,193,11.5,3,50,1578739,1.3,2.82,2820,1,Amprion,Stockum Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.73212495035583 51.4594437365975,6.72256980950278 51.4797876727124)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
252,4,201,6.85,3,50,1584792,1.3,79.19,79190,0.5,TenneT,3003 schwarz,0.05,3003,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.25103425143703 53.1144323051271)",0.5,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
253,4,201,6.85,3,50,1584793,1.3,79.282,79282,0.5,TenneT,3003 grün,0.05,3003,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.25103425143703 53.1144323051271)",0.5,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
254,202,86,13.7,3,50,1596307,2.6,0.772,772,1,Amprion,Kernkraftwerk Emsland,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.32089257541703 52.4714572265383,7.30820430094578 52.4768353862806)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
255,85,203,13.7,3,50,1596713,2.6,21.968,21968,1,Amprion,Gronau - Hengelo weiß,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,6.75917485282445 52.2488578798871)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
256,85,203,13.7,3,50,1596714,2.6,21.962,21962,1,Amprion,Gronau - Hengelo schwarz,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,6.75917485282445 52.2488578798871)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
257,147,204,11.5,3,50,1605946,1.3,22.344,22344,1,markE,Südleitung,0.08,S,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.70632726933662 51.278583155205)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
258,147,204,11.5,3,50,1605949,1.3,22.347,22347,1,markE,Nordleitung,0.08,N,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.70632726933662 51.278583155205)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
259,147,205,5.75,3,50,1606843,0.65,4.507,4507,0.5,Amprion,Koepchenwerk Maschine 5,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.45034204531003 51.413608212821)",0.64,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
260,123,206,13.7,3,50,1610217,2.6,6.7,6700,1,Amprion,Neurath 4d,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.63448162267058 51.0359799381303)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
261,123,206,13.7,3,50,1610218,2.6,6.646,6646,1,Amprion,Neurath 5e,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.63448162267058 51.0359799381303)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
262,165_220kV,207,11.5,3,50,1610616,1.3,27.915,27915,1,Amprion,Werse West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.60711612154456 51.8986046029193)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
263,165,208,13.7,3,50,1610620,2.6,23.948,23948,1,Amprion,Waltrop Süd,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.4035444340631 51.644449487967)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
264,4,94,13.7,3,50,1630765,2.6,79.06,79060,1,Amprion,Dümmersee Süd 1,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,8.30775689679575 52.3456356447783)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
265,4,2,27.4,6,50,1630850,5.2,1.268,1268,2,transpower,Robert Frank - Landesbergen,0.0125,,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",0.125,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
266,4,2,13.7,3,50,1630851,2.6,1.105,1105,1,transpower,Leitung 3004,0.025,3004,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
267,4,2,13.7,3,50,1630852,2.6,0.902,902,1,transpower,Leitung 3005,0.025,3005,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
268,209,4,27.4,6,50,1630911,5.2,25.841,25841,2,TenneT,Leitung 3017,0.0125,3017,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(8.93969252741257 52.4030332405173,9.12526570294975 52.5382640870749)",0.125,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
269,119,163,13.7,3,50,1632259,2.6,20.419,20419,1,Amprion,Oberzier Süd,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.59601979462215 50.9525274624278)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
270,210,3,13.7,3,50,1633120,2.6,1.82,1820,1,TenneT,Leitung 3013,0.025,3013,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.40952032742215 52.034316665873,9.38974509624863 52.0263130660355)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
271,99,211,13.7,3,,1636702,2.6,20.242,20242,1,Amprion,Bliestal Süd,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,7.23579344536789 49.3693923629482)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
272,99,69,13.7,3,50,1636703,2.6,125.443,125443,1,Amprion,Bürstadt Ltg,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,8.41937105938048 49.6337356823792)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
273,212,99,13.7,3,,1636708,2.6,48.829,48829,1,Amprion,Uchtelfangen Ost,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.81368431456473 49.7248340737293,6.99647659179489 49.3754093063084)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
274,213,214,5.75,3,50,1636720,0.65,45.076,45076,0.5,Amprion,Rheinau Ost,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)",0.64,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
275,69_220kV,215,11.5,3,50,1636721,1.3,13.606,13606,1,Amprion,Anilin 1A,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
276,128,69,13.7,3,50,1636722,2.6,123.721,123721,1,Amprion,Soonwald West,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,8.41937105938048 49.6337356823792)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
277,128,69,13.7,3,50,1636723,2.6,123.741,123741,1,Amprion,Soonwald Ost,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,8.41937105938048 49.6337356823792)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
278,69_220kV,215,11.5,3,50,1636726,1.3,13.604,13604,1,Amprion,Anilin 2B,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
279,216,69,13.7,3,50,1636729,2.6,111.236,111236,1,Amprion,Kugelberg West,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
280,216,69,13.7,3,50,1636730,2.6,111.228,111228,1,Amprion,Kugelberg Ost,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
281,213,214,11.5,3,50,1636737,1.3,45.076,45076,1,Amprion,Rheinau West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
282,217,98,13.7,3,50,1636750,2.6,7.386,7386,1,50Hertz,546,0.025,546,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(12.1320699705054 54.14245987564,12.2147735096776 54.1003234403618)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
283,42_220kV,218,11.5,3,50,1636782,1.3,41.565,41565,1,50Hertz Transmission,275,0.08,275,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.2135605440795 54.1119998545154)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
284,177,42_220kV,11.5,3,50,1636783,1.3,106.704,106704,1,50Hertz Transmission,276/317,0.08,276;317,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,12.1869848227216 53.8157751724384)",0.32,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
285,219,209,13.7,3,50,1636863,2.6,45.492,45492,1,TenneT,,0.025,3018,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
