name,v_nom,x,y,carrier,zone_id
0,380,9.056857083,50.0001126,AC,DE_0
1,380,8.666572752,52.01633118,AC,DE_0
2,380,13.25555502,50.93017824,AC,DE_0
3,380,6.630623395,51.021044,AC,DE_0
4,220,11.28233244,47.49436757,AC,DE_0
5,380,12.18657827,53.81413671,AC,DE_0
6,380,8.533835872,53.14566405,AC,DE_0
7,220,7.910729286,48.5012883,AC,DE_0
8,380,10.39886205,52.2209451,AC,DE_0
9,380,10.33208977,48.52033868,AC,DE_0
10,220,10.13134822,54.32128011,AC,DE_0
11,380,7.465659349,51.59325839,AC,DE_0
12,380,12.08225445,49.29744777,AC,DE_0
13,220,13.99535096,53.38002012,AC,DE_0
14,380,11.45015035,50.92091835,AC,DE_0
15,380,13.5519406,52.52757033,AC,DE_0
16,380,6.751811907,49.30975352,AC,DE_0
17,380,9.14113754,48.88947642,AC,DE_0
18,220,8.937464067,47.82589198,AC,DE_0
19,380,7.311850615,52.47513231,AC,DE_0
20,220,13.04232962,48.25924476,AC,DE_0
21,220,8.512890308,48.96118119,AC,DE_0
22,380,13.84126808,50.99017594,AC,DE_0
23,380,9.978360522,53.69886043,AC,DE_0
24,380,7.593301849,50.38594379,AC,DE_0
25,380,9.116328453,52.5429408,AC,DE_0
26,380,9.774150438,50.52874965,AC,DE_0
27,380,11.613111,52.22045394,AC,DE_0
28,380,11.63931211,48.17878341,AC,DE_0
29,380,6.913870711,51.48368248,AC,DE_0
30,380,9.540671051,51.29214646,AC,DE_0
31,380,14.5167204,51.46217893,AC,DE_0
32,220,9.352031607,55.0278747,AC,DE_0
33,380,7.952571173,47.58061873,AC,DE_0
34,380,12.41846701,51.21613178,AC,DE_0
35,380,9.404315548,52.02937088,AC,DE_0
36,380,9.7233261,47.69855022,AC,DE_0
37,220,11.32695268,49.39347312,AC,DE_0
38,220,8.487346863,49.47577794,AC,DE_0
39,380,9.502518057,53.59985509,AC,DE_0
40,380,8.473852083,50.65184769,AC,DE_0
41,220,13.39914984,53.79388983,AC,DE_0
42,380,6.957383106,50.8414322,AC,DE_0
43,380,7.273678969,53.05971729,AC,DE_0
44,220,6.167817278,49.9390185,AC,DE_0
45,380,11.58914936,50.55792314,AC,DE_0
46,220,11.80760564,48.4554268,AC,DE_0
47,380,10.67239087,47.92654407,AC,DE_0
48,380,7.99395912,51.82309543,AC,DE_0
49,380,7.163257877,51.42403741,AC,DE_0
50,380,13.33528038,49.58968986,AC,DE_0
51,380,10.17854842,49.99376001,AC,DE_0
52,220,8.002678898,50.88292117,AC,DE_0
53,220,8.106484141,53.58327726,AC,DE_0
54,380,8.463814313,50.04246238,AC,DE_0
55,380,12.04498252,50.78125673,AC,DE_0
56,380,9.825087232,48.35773748,AC,DE_0
57,380,8.240157789,52.31851088,AC,DE_0
58,380,13.27134795,52.50860934,AC,DE_0
59,380,7.812913064,52.28012498,AC,DE_0
60,380,11.6993927,53.57227449,AC,DE_0
61,380,14.44403366,51.86107003,AC,DE_0
62,380,11.1937278,50.16221444,AC,DE_0
63,380,10.39197653,53.20855123,AC,DE_0
64,380,9.446918671,49.59026293,AC,DE_0
65,220,13.7106901,48.51930516,AC,DE_0
66,220,10.73466943,51.44018676,AC,DE_0
67,380,8.872942805,48.31009126,AC,DE_0
68,380,6.472337865,50.87620418,AC,DE_0
69,380,7.707414444,48.07776053,AC,DE_0
70,220,9.857860705,51.93238875,AC,DE_0
71,380,9.335183849,53.89252154,AC,DE_0
72,380,10.90470995,47.25279278,AC,DE_0
73,220,7.792567149,49.81054878,AC,DE_0
74,380,10.76104038,52.36772938,AC,DE_0
75,380,7.724323574,51.67246236,AC,DE_0
76,380,15.03074402,51.07658289,AC,DE_0
77,380,6.638286278,51.61691547,AC,DE_0
78,380,9.885637389,52.36100672,AC,DE_0
79,220,6.920130455,49.97058189,AC,DE_0
80,380,9.08663201,49.31754157,AC,DE_0
81,380,8.624800528,51.42788838,AC,DE_0
82,220,6.465067507,51.28828581,AC,DE_0
83,380,13.90243469,51.87472352,AC,DE_0
84,380,10.88637983,49.43863092,AC,DE_0
85,380,10.88935214,48.49586621,AC,DE_0
86,380,12.9416466,52.5621144,AC,DE_0
87,380,11.5941232,48.77805202,AC,DE_0
88,380,6.244031243,50.8651213,AC,DE_0
89,380,8.537544341,48.00810853,AC,DE_0
90,380,8.246766843,47.60409601,AC,DE_0
91,380,9.251034251,53.11443231,AC,DE_0
92,380,9.810916892,47.1426453,AC,DE_0
93,380,6.999656525,51.07924203,AC,DE_0
94,380,13.15709049,51.82845166,AC,DE_0
95,380,13.10343464,48.66679296,AC,DE_0
96,380,9.726196683,54.29037074,AC,DE_0
97,380,10.15247579,48.8436543,AC,DE_0
98,380,7.31023791,51.57505138,AC,DE_0
99,380,9.425512386,48.0643508,AC,DE_0
100,380,8.861182288,50.12990985,AC,DE_0
101,380,12.87680324,50.86058325,AC,DE_0
102,380,6.532393271,50.39114702,AC,DE_0
103,220,14.37354339,53.14651805,AC,DE_0
104,380,13.68347697,54.13909064,AC,DE_0
