name,technology,bidding_EOM,bidding_nodal,bidding_DAM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_0,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,31.1,6.22,0.406816435,1.3,260,operator_0,Market
Unit_1,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,233.764,46.7528,0.414665196,5.5,260,operator_1,Market
Unit_2,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,61.7,12.34,0.3487,5.5,260,operator_2,Market
Unit_3,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,37.6,7.52,0.33,0,260,operator_3,Market
Unit_4,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,51.805,10.361,0.394519632,1.3,351,operator_4,Market
Unit_5,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,338.119692,67.6239384,0.450377637,5.5,351,operator_5,Market
Unit_6,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,29.2,5.84,0.419450427,5.5,351,operator_6,Market
Unit_7,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,162.574,32.5148,0.33,0,351,operator_7,Market
Unit_8,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,65.3698,13.07396,0.425937521,5.5,348,operator_8,Market
Unit_9,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,34,6.8,0.3046,5.5,348,operator_9,Market
Unit_10,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,36,7.2,0.33,0,348,operator_10,Market
Unit_11,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,17,3.4,0.39799937,1.65,11,operator_11,Market
Unit_12,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,88.457,17.6914,0.403050514,5.5,11,operator_12,Market
Unit_13,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,167.074,33.4148,0.33,0,11,operator_13,Market
Unit_14,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,14.82,2.964,0.490636968,5.5,62,operator_14,Market
Unit_15,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,46,9.2,0.33,0,62,operator_15,Market
Unit_16,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,33.932,6.7864,0.424061042,5.5,183,operator_16,Market
Unit_17,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,23.875,4.775,0.33,0,183,operator_17,Market
Unit_18,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,33.5,6.7,0.379586492,1.65,284,operator_18,Market
Unit_19,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,126.023,25.2046,0.404960301,5.5,284,operator_19,Market
Unit_20,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,24.81,4.962,0.456311487,5.5,284,operator_20,Market
Unit_21,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,62.099,12.4198,0.33,0,284,operator_21,Market
Unit_22,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,66.694,13.3388,0.408598519,5.5,42,operator_22,Market
Unit_23,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,18.5,3.7,0.33,0,42,operator_23,Market
Unit_24,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,79.4,15.88,0.374986765,1.3,475,operator_24,Market
Unit_25,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,19,3.8,0.335250218,1.65,475,operator_25,Market
Unit_26,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,281.064,56.2128,0.442438392,5.5,475,operator_26,Market
Unit_27,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,7.434,1.4868,0.4602,5.5,475,operator_27,Market
Unit_28,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,120.29,24.058,0.33,0,475,operator_28,Market
Unit_29,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,22.143,4.4286,0.340961945,1.3,167,operator_29,Market
Unit_30,Steam turbine,naive_eom,naive_eom,flexable_eom_block,,lignite,0.4,7.2,1.44,0.356570393,1.65,167,operator_30,Grid reserve
Unit_31,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,34.8,6.96,0.302244465,1.65,167,operator_31,Market
Unit_32,Small gas,naive_eom,naive_eom,flexable_eom_block,,natural gas,0.2,6.232,1.2464,0.364489377,5.5,167,operator_32,Grid reserve
Unit_33,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,658.99085,131.79817,0.419252753,5.5,167,operator_33,Market
Unit_34,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,49.4672,9.89344,0.383967155,5.5,167,operator_34,Market
Unit_35,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,245.716,49.1432,0.33,0,167,operator_35,Market
Unit_36,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,86.489,17.2978,0.411787185,5.5,255,operator_36,Market
Unit_37,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,11.11,2.222,0.4469,5.5,255,operator_37,Market
Unit_38,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,32.5,6.5,0.33,0,255,operator_38,Market
Unit_39,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,43.81,8.762,0.443261118,5.5,99,operator_39,Market
Unit_40,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,34.86,6.972,0.3332,5.5,99,operator_40,Market
Unit_41,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,27.6,5.52,0.33,0,99,operator_41,Market
Unit_42,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,58.378,11.6756,0.482481487,5.5,327,operator_42,Market
Unit_43,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,17.1,3.42,0.435,5.5,327,operator_43,Market
Unit_44,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,15.7,3.14,0.33,0,327,operator_44,Market
Unit_45,Steam turbine,naive_eom,naive_eom,flexable_eom_block,,lignite,0.4,8.8,1.76,0.388792931,1.65,292,operator_45,Grid reserve
Unit_46,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,72.3,14.46,0.363972262,1.65,292,operator_46,Market
Unit_47,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,166.392,33.2784,0.438961106,5.5,292,operator_47,Market
Unit_48,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,69.69,13.938,0.33,0,292,operator_48,Market
Unit_49,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,23.65,4.73,0.37987921,1.3,398,operator_49,Market
Unit_50,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,38.577,7.7154,0.397015068,5.5,398,operator_50,Market
Unit_51,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,52.446,10.4892,0.388703533,5.5,398,operator_51,Market
Unit_52,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,55.36201,11.072402,0.33,0,398,operator_52,Market
Unit_53,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,78.813,15.7626,0.424673541,5.5,32,operator_53,Market
Unit_54,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,12.1,2.42,0.33,0,32,operator_54,Market
Unit_55,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,78.302,15.6604,0.431877802,5.5,312,operator_55,Market
Unit_56,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,57,11.4,0.314204763,5.5,378,operator_56,Market
Unit_57,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,81,16.2,0.319107807,5.5,378,operator_57,Market
Unit_58,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,323,64.6,0.423280057,1.3,378,operator_58,Market
Unit_59,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,65,13,0.373041282,5.5,378,operator_59,Market
Unit_60,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,628,125.6,0.345062344,1.65,123,operator_60,Market
Unit_61,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,648,129.6,0.345062344,1.65,123,operator_61,Market
Unit_62,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,944,188.8,0.411809029,1.65,123,operator_62,Market
Unit_63,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,115,23,0.624707296,5.5,347,operator_63,Market
Unit_64,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,185,37,0.624707296,5.5,347,operator_64,Market
Unit_65,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,189.5,37.9,0.628913126,5.5,48,operator_65,Market
Unit_66,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,72,14.4,0.321559328,5.5,347,operator_66,Market
Unit_67,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,72,14.4,0.321559328,5.5,347,operator_67,Market
Unit_68,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,52,10.4,0.364489377,5.5,435,operator_68,Market
Unit_69,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,56,11.2,0.364489377,5.5,435,operator_69,Market
Unit_70,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,56,11.2,0.365579425,5.5,435,operator_70,Market
Unit_71,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,116,23.2,0.381930147,5.5,47,operator_71,Market
Unit_72,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,164,32.8,0.373041282,5.5,47,operator_72,Market
Unit_73,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,164,32.8,0.373041282,5.5,47,operator_73,Market
Unit_74,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,89,17.8,0.40791401,1.3,347,operator_74,Market
Unit_75,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,282,56.4,0.401328561,1.3,365,operator_75,Market
Unit_76,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,282,56.4,0.40352371,1.3,365,operator_76,Market
Unit_77,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,58.5,11.7,0.624707296,5.5,292,operator_77,Market
Unit_78,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,63.5,12.7,0.628913126,5.5,292,operator_78,Market
Unit_79,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,108,21.6,0.544796527,5.5,71,operator_79,Market
Unit_80,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,50,10,0.370589761,5.5,71,operator_80,Market
Unit_81,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,73.5,14.7,0.599472316,5.5,118,operator_81,Market
Unit_82,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,500,100,0.356570393,1.65,291,operator_82,Market
Unit_83,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,500,100,0.358872003,1.65,291,operator_83,Market
Unit_84,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,840,168,0.4049042,1.65,291,operator_84,Market
Unit_85,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,630,126,0.432523517,1.65,291,operator_85,Market
Unit_86,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,56,11.2,0.378660003,5.5,43,operator_86,Market
Unit_87,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,60,12,0.519561547,5.5,43,operator_87,Market
Unit_88,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,60,12,0.519561547,5.5,43,operator_88,Market
Unit_89,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,68.41,13.682,0.436780845,5.5,295,operator_89,Market
Unit_90,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,98.1,19.62,0.641530616,5.5,295,operator_90,Market
Unit_91,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,444.5,88.9,0.603678146,5.5,67,operator_91,Market
Unit_92,Combustion Engine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,105.978,21.1956,0.4742,5.5,62,operator_92,Market
Unit_93,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,119,23.8,0.40571886,1.3,62,operator_93,Market
Unit_94,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,86,17.2,0.315,5.5,67,operator_94,Market
Unit_95,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,137,27.4,0.382847369,5.5,331,operator_95,Market
Unit_96,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,72.46,14.492,0.349228703,5.5,331,operator_96,Market
Unit_97,Combustion Engine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,53.481,10.6962,0.4728,5.5,428,operator_97,Market
Unit_98,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,1052,210.4,0.4737685,1.3,164,operator_98,Market
Unit_99,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,194,38.8,0.385200291,5.5,131,operator_99,Market
Unit_100,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,184,36.8,0.380395847,5.5,131,operator_100,Market
Unit_101,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,184,36.8,0.380395847,5.5,131,operator_101,Market
Unit_102,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,58.681,11.7362,0.637324786,5.5,444,operator_102,Market
Unit_103,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,74,14.8,0.379750051,5.5,326,operator_103,Market
Unit_104,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,62,12.4,0.523767377,5.5,326,operator_104,Market
Unit_105,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,62,12.4,0.523767377,5.5,326,operator_105,Market
Unit_106,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,62,12.4,0.523767377,5.5,326,operator_106,Market
Unit_107,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,75.2,15.04,0.390201934,5.5,188,operator_107,Market
Unit_108,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,75.2,15.04,0.390201934,5.5,188,operator_108,Market
Unit_109,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,84,16.8,0.390650532,5.5,188,operator_109,Market
Unit_110,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,725,145,0.458402452,1.3,196,operator_110,Market
Unit_111,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,86.2,17.24,0.3072,5.5,148,operator_111,Market
Unit_112,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,100,20,0.544796527,5.5,116,operator_112,Market
Unit_113,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,66.7,13.34,0.316656285,5.5,116,operator_113,Market
Unit_114,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,64.7,12.94,0.319107807,5.5,116,operator_114,Market
Unit_115,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,595,119,0.612089806,5.5,116,operator_115,Market
Unit_116,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,61.6,12.32,0.35132835,5.5,81,operator_116,Market
Unit_117,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,321,64.2,0.326462372,5.5,61,operator_117,Market
Unit_118,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,75.185,15.037,0.616295636,5.5,335,operator_118,Market
Unit_119,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,433,86.6,0.431239119,5.5,270,operator_119,Market
Unit_120,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,112.719,22.5438,0.35974001,5.5,385,operator_120,Market
Unit_121,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,321,64.2,0.328951076,1.65,127,operator_121,Market
Unit_122,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,663,132.6,0.345062344,1.65,127,operator_122,Market
Unit_123,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,200,40,0.39174058,5.5,127,operator_123,Market
Unit_124,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,656,131.2,0.347363954,1.65,127,operator_124,Market
Unit_125,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,200,40,0.39174058,5.5,127,operator_125,Market
Unit_126,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,50.1,10.02,0.419620193,5.5,495,operator_126,Market
Unit_127,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,60,12,0.434329323,5.5,495,operator_127,Market
Unit_128,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,71,14.2,0.33,0,240,operator_128,Market
Unit_129,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,92,18.4,0.434329323,5.5,240,operator_129,Market
Unit_130,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,92,18.4,0.434329323,5.5,240,operator_130,Market
Unit_131,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,53.6,10.72,0.557414017,5.5,240,operator_131,Market
Unit_132,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,70,14,0.565825677,5.5,240,operator_132,Market
Unit_133,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,61.5,12.3,0.40791401,1.3,492,operator_133,Market
Unit_134,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,61.5,12.3,0.40791401,1.3,492,operator_134,Market
Unit_135,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,110.755,22.151,0.365686718,5.5,492,operator_135,Market
Unit_136,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,56,11.2,0.317443027,1.65,134,operator_136,Market
Unit_137,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,52.93,10.586,0.645736446,5.5,138,operator_137,Market
Unit_138,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,52.93,10.586,0.645736446,5.5,138,operator_138,Market
Unit_139,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,1060,212,0.432523517,1.65,115,operator_139,Market
Unit_140,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,1060,212,0.432523517,1.65,115,operator_140,Market
Unit_141,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,126,25.2,0.333816936,5.5,205,operator_141,Market
Unit_142,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,121,24.2,0.333816936,5.5,205,operator_142,Market
Unit_143,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,56.845,11.369,0.628913126,5.5,72,operator_143,Market
Unit_144,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,57.144,11.4288,0.628913126,5.5,72,operator_144,Market
Unit_145,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,57.322,11.4644,0.42942628,5.5,72,operator_145,Market
Unit_146,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,54.832533,10.9665066,0.519561547,5.5,72,operator_146,Market
Unit_147,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,127,25.4,0.582648997,5.5,21,operator_147,Market
Unit_148,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,154,30.8,0.414499459,1.3,21,operator_148,Market
Unit_149,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,407,81.4,0.574237337,5.5,136,operator_149,Market
Unit_150,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,445,89,0.574237337,5.5,136,operator_150,Market
Unit_151,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,136,27.2,0.40571886,1.3,380,operator_151,Market
Unit_152,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,136,27.2,0.40571886,1.3,380,operator_152,Market
Unit_153,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,78,15.6,0.370589761,5.5,380,operator_153,Market
Unit_154,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,82,16.4,0.591060656,5.5,380,operator_154,Market
Unit_155,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,70,14,0.582648997,5.5,380,operator_155,Market
Unit_156,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,778,155.6,0.396938261,1.3,310,operator_156,Market
Unit_157,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,417,83.4,0.574237337,5.5,205,operator_157,Market
Unit_158,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,52.7,10.54,0.402459542,5.5,31,operator_158,Market
Unit_159,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,657,131.4,0.637324786,5.5,142,operator_159,Market
Unit_160,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,460,92,0.40571886,1.3,142,operator_160,Market
Unit_161,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,280,56,0.574237337,5.5,133,operator_161,Market
Unit_162,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,308,61.6,0.574237337,5.5,133,operator_162,Market
Unit_163,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,308,61.6,0.574237337,5.5,133,operator_163,Market
Unit_164,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,98,19.6,0.386491321,1.65,133,operator_164,Market
Unit_165,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,63,12.6,0.386491321,1.65,133,operator_165,Market
Unit_166,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,430,86,0.412265628,5.5,133,operator_166,Market
Unit_167,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,59.8,11.96,0.276195478,5.5,225,operator_167,Market
Unit_168,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,517,103.4,0.396938261,1.3,52,operator_168,Market
Unit_169,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,834,166.8,0.460597602,1.3,52,operator_169,Market
Unit_170,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,83,16.6,0.333816936,5.5,219,operator_170,Market
Unit_171,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,75.3,15.06,0.427920298,1.65,145,operator_171,Market
Unit_172,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,147,29.4,0.390650532,5.5,154,operator_172,Market
Unit_173,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,266,53.2,0.392653455,5.5,154,operator_173,Market
Unit_174,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,108.2,21.64,0.561619847,5.5,145,operator_174,Market
Unit_175,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,452.9,90.58,0.612089806,5.5,154,operator_175,Market
Unit_176,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,92,18.4,0.38,5.5,465,operator_176,Market
Unit_177,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,431,86.2,0.431239119,5.5,296,operator_177,Market
Unit_178,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,63.54,12.708,0.527973207,5.5,340,operator_178,Market
Unit_179,Combined cycle,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,64.603,12.9206,0.586854826,5.5,340,operator_179,Market
Unit_180,Gas turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,67.5,13.5,0.434329323,5.5,340,operator_180,Market
