datetime,lignite,hard coal,natural gas,oil,biomass,co2
1/1/2035 0:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 1:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 2:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 3:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 4:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 5:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 6:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 7:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 8:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 9:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 10:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 11:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 12:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 13:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 14:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 15:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 16:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 17:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 18:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 19:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 20:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 21:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 22:00,8.27,25.9,30.95,21.67,16.67,160
1/1/2035 23:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 0:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 1:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 2:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 3:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 4:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 5:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 6:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 7:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 8:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 9:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 10:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 11:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 12:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 13:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 14:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 15:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 16:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 17:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 18:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 19:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 20:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 21:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 22:00,8.27,25.9,30.95,21.67,16.67,160
1/2/2035 23:00,8.27,25.9,30.95,21.67,16.67,160
1/3/2035 0:00,8.27,25.9,30.95,21.67,16.67,160
